Item,Price,Source,Page,Section
"Axe, Woodsman",3,Auroras,7,Ranger’s Field
Hatchet,2,Auroras,7,Ranger’s Field
Body Sleigh,8,Auroras,7,Ranger’s Field
"Cage, Fowlers’ Wooden",8,Auroras,7,Ranger’s Field
"Cage, Fowlers’ Brass",12,Auroras,7,Ranger’s Field
Cording Mallet,10,Auroras,8,Ranger’s Field
Dagger Boots,,Auroras,8,Ranger’s Field
Equipment Frame,10,Auroras,8,Ranger’s Field
Field Glass,25,Auroras,8,Ranger’s Field
Fishing Tackle,10,Auroras,9,Ranger’s Field
"Fowlers’ Snares, Small",1,Auroras,9,Ranger’s Field
"Fowlers’ Snares, Large",3,Auroras,9,Ranger’s Field
Hunting Knives Set,12,Auroras,9,Ranger’s Field
"Hunting Trap, Rabbit",4,Auroras,10,Ranger’s Field
"Hunting Trap, Boar",7,Auroras,10,Ranger’s Field
"Hunting Trap, Bear",12,Auroras,10,Ranger’s Field
"Leash, Common Cat",0.2,Auroras,10,Ranger’s Field
"Leash, Small Dog",0.4,Auroras,10,Ranger’s Field
"Leash, Common Dog",0.5,Auroras,10,Ranger’s Field
"Leash, Wolf",0.6,Auroras,10,Ranger’s Field
"Leash, Dire Wolf",0.8,Auroras,10,Ranger’s Field
Provisions Bag,3,Auroras,10,Ranger’s Field
"Rope Ladder (per 4’, 60 max)",0.1,Auroras,10,Ranger’s Field
"Saw, Folding",,Auroras,11,Ranger’s Field
"Archery Target, 2’ diameter",0.1,Auroras,11,Ranger’s Field
"Archery Target, 1’ diameter",0.3,Auroras,11,Ranger’s Field
"Archery Target, Pair 1’ pivoting",5,Auroras,11,Ranger’s Field
Tree Bed,8,Auroras,11,Ranger’s Field
Tree Bed Roof,2,Auroras,11,Ranger’s Field
Tree Seat,15,Auroras,11,Ranger’s Field
Whistle/Animal Call,1,Auroras,12,Ranger’s Field
Mini-Blade,0.1,Auroras,13,Thieves’ Corner
Rosin Cube (100 uses),0.1,Auroras,13,Thieves’ Corner
Thieves’ Powder (15 uses),0.05,Auroras,13,Thieves’ Corner
"Wired Cane, Ivory",10,Auroras,13,Thieves’ Corner
"Wired Cane, Bronze",5,Auroras,13,Thieves’ Corner
"Wired Cane, Oak",3,Auroras,13,Thieves’ Corner
Garotte,0.3,Auroras,13,Thieves’ Corner
Glass Cutter,2,Auroras,14,Thieves’ Corner
"Hacksaw, Common",5,Auroras,14,Thieves’ Corner
"Hacksaw, Superior",20,Auroras,14,Thieves’ Corner
Hinge-Removing Set,30,Auroras,14,Thieves’ Corner
Keymaking Set,40,Auroras,14,Thieves’ Corner
Lockpicks,,Auroras,15,Thieves’ Corner
"Sleep Gas, Small Flask",5,Auroras,15,Thieves’ Corner
"Sleep Gas, Man-size Flask",10,Auroras,15,Thieves’ Corner
"Sleep Gas, Large Flask",20,Auroras,15,Thieves’ Corner
Bamsmack,5,Auroras,15,Thieves’ Corner
Gigwhorls,3,Auroras,16,Thieves’ Corner
Silent Shoes,10,Auroras,16,Thieves’ Corner
Silk Bodysuit,10,Auroras,16,Thieves’ Corner
"Gnomish Cloak, Small",10,Auroras,16,Thieves’ Corner
"Gnomish Cloak, Large",12,Auroras,16,Thieves’ Corner
Tar Makeup (25 uses),3,Auroras,16,Thieves’ Corner
Weaponblack (25 uses),3,Auroras,16,Thieves’ Corner
Thieving Helmet,10,Auroras,17,Thieves’ Corner
Clamp Gauntlets,25,Auroras,17,Thieves’ Corner
Chisel Boots,25,Auroras,17,Thieves’ Corner
Climbing Irons,,Auroras,17,Thieves’ Corner
Rope Set,40,Auroras,17,Thieves’ Corner
Spider Poles,,Auroras,18,Thieves’ Corner
Bladeboots,15,Auroras,18,Thieves’ Corner
Earblade,0.1,Auroras,18,Thieves’ Corner
Files,,Auroras,18,Thieves’ Corner
Masks,,Auroras,18,Thieves’ Corner
Poison,,Auroras,19,Thieves’ Corner
Caltrops (100),2,Auroras,19,Thieves’ Corner
Marbles (100),0.8,Auroras,19,Thieves’ Corner
Aniseed (Vial),1,Auroras,19,Thieves’ Corner
Snaptraps (100),5,Auroras,19,Thieves’ Corner
Disappearing Ink,5,Auroras,19,Thieves’ Corner
Invisible Ink,5,Auroras,19,Thieves’ Corner
Disguise Kit,20,Auroras,20,Thieves’ Corner
Marked Card Deck,3,Auroras,20,Thieves’ Corner
Weighted Dice,5,Auroras,20,Thieves’ Corner
Pebbles and Shells,3,Auroras,20,Thieves’ Corner
Salves and Medicinals,varies,Auroras,20,Thieves’ Corner
Bandore (Pandora),65,Auroras,21,Bards’ Emporium
Cittern,65,Auroras,21,Bards’ Emporium
Dulcimer,60,Auroras,21,Bards’ Emporium
Dulcimer (Half-size),45,Auroras,21,Bards’ Emporium
"Lute, Chitarrone",50,Auroras,21,Bards’ Emporium
"Lute, Theorbo",45,Auroras,21,Bards’ Emporium
"Lute, Mandora",40,Auroras,21,Bards’ Emporium
"Lute, Common",35,Auroras,21,Bards’ Emporium
Mandolin,40,Auroras,22,Bards’ Emporium
"Psaltery, Triangular",65,Auroras,22,Bards’ Emporium
"Psaltery, Square",60,Auroras,22,Bards’ Emporium
Yarting,40,Auroras,22,Bards’ Emporium
Zither,65,Auroras,22,Bards’ Emporium
"Harp, Wood, Full-size",75,Auroras,22,Bards’ Emporium
"Harp, Wood, Half-scale",50,Auroras,22,Bards’ Emporium
"Harp, Silver, Half-scale",120,Auroras,22,Bards’ Emporium
"Harp, Wood, Quarter-scale",30,Auroras,22,Bards’ Emporium
"Harp, Silver, Quarter-scale",75,Auroras,22,Bards’ Emporium
Lyre,40,Auroras,22,Bards’ Emporium
Harpsichord,varies,Auroras,22,Bards’ Emporium
Violin,65,Auroras,22,Bards’ Emporium
Rebec,55,Auroras,22,Bards’ Emporium
Viol,70,Auroras,22,Bards’ Emporium
Birdpipe,20,Auroras,22,Bards’ Emporium
"Fanfare Horn, Brass",35,Auroras,24,Bards’ Emporium
Horn,40,Auroras,24,Bards’ Emporium
"Glaur, Silver",120,Auroras,24,Bards’ Emporium
"Glaur, Electrum",250,Auroras,24,Bards’ Emporium
"Glaur, Brass",75,Auroras,24,Bards’ Emporium
"Hunting Horn, Wood",20,Auroras,24,Bards’ Emporium
"Hunting Horn, Brass",35,Auroras,24,Bards’ Emporium
"Hunting Horn, Shell",35,Auroras,24,Bards’ Emporium
"Hunting Horn, Horn",30,Auroras,24,Bards’ Emporium
"Longhorn, Treble",15,Auroras,24,Bards’ Emporium
"Longhorn, Brass",15,Auroras,24,Bards’ Emporium
"Longhorn, Silver",35,Auroras,24,Bards’ Emporium
"Longhorn, Wood",10,Auroras,24,Bards’ Emporium
"Longhorn, Bamboo",15,Auroras,24,Bards’ Emporium
Sackbut,45,Auroras,24,Bards’ Emporium
Shawm,22,Auroras,25,Bards’ Emporium
Shorthorn,15,Auroras,25,Bards’ Emporium
Songhorn,15,Auroras,25,Bards’ Emporium
"Thelarr/Whistlecane, Single",6,Auroras,25,Bards’ Emporium
"Thelarr/Whistlecane, Set",25,Auroras,25,Bards’ Emporium
Zulkoon,95,Auroras,25,Bards’ Emporium
"Chimes, Full Rack",75,Auroras,26,Bards’ Emporium
