Name,GP,LBS,Attributes,Type,Notes
Abacus,2,2,,Adventuring Gear,Utility
Acid Vial,25,1,,Adventuring Gear,Combat Damage Utility
Alchemist's Fire Flask,50,1,,Adventuring Gear,Combat Consumable Damage
Alchemist's Supplies,50,1,,Tool,Utility
Alexandrite,500,-,,Gemstone,
Alms Box,-,-,,Adventuring Gear,Utility
Amber,100,-,,Gemstone,
Amethyst,100,-,,Gemstone,
Amulet,5,1,,Holy Symbol,Utility
Antimatter Rifle,-,10,Necrotic,Firearms Ranged Weapon,Reload (2 shots)
Antitoxin,50,-,,Adventuring Gear,Healing Utility
Aquamarine,500,-,,Gemstone,
Arcane Focus,-,-,,Arcane Focus,Utility
Arrows,1,1,,Ammunition,Combat Damage
Assassin's Blood (Ingested),150,-,,Poison,Consumable Damage
Azurite,10,-,,Gemstone,
Backpack,2,5,,Adventuring Gear,Container
Bagpipes,30,6,,Tool,Instrument
Ball Bearings (Bag Of 1000),1,2,,Adventuring Gear,Combat Control Utility
Banded Agate,10,-,,Gemstone,
Barding,-,-,,Adventuring Gear,Cost x4 Weight x2
Barrel,2,70,,Adventuring Gear,Container
Basket,0.4,2,,Adventuring Gear,Container
Battleaxe,10,4,Slashing,Martial Melee Weapon,Combat Damage
Bedroll,1,7,,Adventuring Gear,Utility
Bell,1,-,,Adventuring Gear,Communication Utility
Birdpipes,12,2,,Tool,Instrument
Bit And Bridle,2,1,,Adventuring Gear,Utility
Black Opal,1000,-,,Gemstone,
Black Pearl,500,-,,Gemstone,
Black Sapphire,5000,-,,Gemstone,
Blanket,1,3,,Adventuring Gear,Utility
Block And Tackle,1,5,,Adventuring Gear,Exploration Movement Utility
Block Of Incense,-,-,,Adventuring Gear,Social Utility
Bloodstone,50,-,,Gemstone,
Blowgun,10,1,PIercing,Martial Ranged Weapon,Combat Damage
Blowgun Needles,1,1,,Ammunition,Combat Damage
Blue Quartz,10,-,,Gemstone,
Blue Sapphire,1000,-,,Gemstone,
Blue Spinel,500,-,,Gemstone,
Bomb,150,1,,Adventuring Gear,Combat Damage
Book,25,5,,Adventuring Gear,Social Utility
Boomerang,-,-,Bludgeoning,Simple Ranged Weapon,Combat Damage
Bottle Glass,2,2,,Adventuring Gear,Container
Breastplate,400,20,AC 14,Medium Armor,Warding
Brewer's Supplies,20,9,,Tool,Utility
Bucket,0,2,,Adventuring Gear,Container
Bullets Modern,-,1,,Ammunition,Combat Damage
Bullets Renaissance,3,2,,Ammunition,Combat Damage
Burglar's Pack,16,48,,Equipment Pack,Container Exploration Utility
Burnt Othur Fumes (Inhaled),500,-,,Poison,Consumable Damage
Calligrapher's Supplies,10,5,,Tool,Utility
Caltrops (Bag Of 20),1,2,,Adventuring Gear,Combat Damage Movement
Camel,50,-,,Mount,Speed 50 ft Carrying Capacity 480 lbs
Candle,0,,,Adventuring Gear,Consumable Exploration Utility
Canoe,50,-,,Adventuring Gear,Utility
Carnelian,50,-,,Gemstone,
Carpenter's Tools,8,6,,Adventuring Gear,Utility
Carriage,100,600,,Vehicle (Land),Exploration Movement Utility
Cart,15,200,,Vehicle (Land),Exploration Movement Utility
Cartographer's Tools,15,6,,Tool,Utility
Case Crossbow Bolt,15,6,,Adventuring Gear,Container
Case Map or Scroll,1,1,,Adventuring Gear,Container
Censer,-,-,,Adventuring Gear,Utility
Censer,-,-,,Adventuring Gear,Utility
Chain (10 feet),5,10,,Adventuring Gear,Utility
Chain Mail,75,55,AC 16,Heavy Armor,Warding
Chain Shirt,50,20,AC 13,Medium Armor,Warding
Chalcedony,50,-,,Gemstone,
Chalk (1 Piece),0,-,,Adventuring Gear,Communication Consumable Utility
Chariot,250,100,,Vehicle (Land),Exploration Movement Utility
Chest,5,25,,Adventuring Gear,Container
Chrysoberyl,100,-,,Gemstone,
Chrysoprase,50,-,,Gemstone,
Citrine,50,-,,Gemstone,
Climber's Kit,25,12,,Adventuring Gear,Exploration Movement Utility
Clothes Costume,5,4,,Adventuring Gear,Deception Outerwear Social
Clothes Common,5,3,,Adventuring Gear,Outerwear Social
Clothes Fine,15,6,,Adventuring Gear,Outerwear Social
Clothes Travelers,2,4,,Adventuring Gear,Outerwear Social
Club,0,2,Bludgeoning,Simple Melee Weapon,Combat Damage
Cobbler's Tools,5,5,,Tool,Utility
Component Pouch,25,2,,Adventuring Gear,Container Utility
Cook's Utensils,1,8,,Tool,Utility
Coral,100,-,,Gemstone,
Crawler Mucus (Contact),200,,,Poison,Consumable Damage Debuff
Crossbow Bolts,1,2,,Ammunition,Combat Damage
Crossbow Hand,75,3,Piercing,Martial Ranged Weapon,Combat Damage
Crossbow Heavy,50,18,Piercing,Martial Ranged Weapon,Combat Damage
Crossbow Light,25,5,Piercing,Martial Ranged Weapon,Combat Damage
Crowbar,2,5,,Adventuring Gear,Exploration Utility
Crystal,10,1,,Arcane Focus,Utility
Dagger,2,1,Piercing,Simple Melee Weapon,Combat Damage
Dart,0,0,Piercing,Simple Ranged Weapon,Combat Damage
Diamond,5000,-,,Gemstone,
Dice Set,0,0,,Tool,Social
Diplomat's Pack,39,36,,Equipment Pack,Container Exploration Outerwear Social Utility
Disguise Kit,25,3,,Tool,Deception Utility
Donkey (or Mule),8,0,,Mount,Speed 40 ft. Carrying Capacity 420 lbs.
Double-Bladed Scimitar,100,6,Slashing,Martial Melee Weapon,Combat Damage
Draft Horse,50,0,,Mount,Speed 40 ft. Carrying Capacity 540 lbs.
Dragonchess Set,1,1,,Tool,Social
Drow Poison (Injury),200,0,,Poison,Consumable Damage Debuff
Druidic Focus,-,0,,Druidic Focus,Utility
Drum,6,3,,Tool,Instrument
Dulcimer,25,10,,Tool,Instrument
Dungeoneer's Pack,12,62,,Equipment Pack,Container Exploration Utility
Dynamite (1 Stick),-,1,,Adventuring Gear,Combat Damage
Eberron Dragonshard,-,0,,Adventuring Gear,Component
Elephant,200,0,,Mount,Speed 40 ft. Carrying Capacity 1320 lbs.
Emblem,5,0,,Holy Symbol,Utility
Emerald,1000,-,,Gemstone,
Energy Cell,-,0,,Ammunition,Combat Damage
Entertainer's Pack,40,38,,Equipment Pack,Container Deception Exploration Outerwear Social Utility
Essence Of Ether (Inhaled),300,0,,Poison,Consumable Damage Debuff
Explorer's Pack,10,59,,Equipment Pack,Container Exploration Utility
Eye Agate,10,-,,Gemstone,
Feed (Per Day),0,10,,Adventuring Gear,Consumable Utility
